seller,make,model,year,capacity,fuel,horse power,transmission,drive train,body type,doors,seats,color,state,price,serviced at aso,first owner,damaged
Dealer,Audi,SQ5,2021,3000,Petrol,349,Automatic,4WD (automatic),SUV,5.0,5.0,Gray,Used,245000,False,False,False
Private,BMW,Seria 5,1997,3498,Petrol,236,Automatic,RWD,Sedan,4.0,5.0,Gray,Used,24500,False,False,False
Private,Renault,Megane,2008,1995,Diesel,173,Manual,FWD,City cars,5.0,,Silver,Used,23900,False,False,False
Private,Ford,Mondeo,2009,1997,Diesel,140,Manual,FWD,Sedan,5.0,5.0,Black,Used,20900,True,False,False
Private,Lancia,Voyager,2014,2776,Diesel,163,Automatic,FWD,Minivan,5.0,2.0,Black,Used,81180,False,False,False
Private,Ford,Transit Connect,2019,1498,Diesel,120,Manual,FWD,Minivan,4.0,3.0,White,Used,82410,True,True,False
Private,Citroën,C3,2015,1560,Diesel,99,Manual,FWD,City cars,5.0,2.0,White,Used,21000,False,False,False
Private,BMW,Seria 3,2012,1995,Diesel,143,Automatic,RWD,station wagon,5.0,5.0,Gray,Used,44900,False,False,False
Private,Mercedes-Benz,CLS,2014,2987,Diesel,251,Automatic,4WD (permanent),Coupe,5.0,4.0,Black,Used,139000,True,True,False
Private,Audi,Q7,2014,2995,Petrol,272,Automatic,4WD (permanent),SUV,5.0,7.0,Blue,Used,99999,False,False,False
Private,Volvo,XC 90,2018,1969,Diesel,235,Automatic,4WD (automatic),SUV,5.0,5.0,Black,Used,259000,True,True,False
Dealer,Opel,Mokka,2013,1598,Petrol,115,Manual,FWD,SUV,5.0,5.0,Brown,Used,47500,True,False,False
Private,Peugeot,206,2001,1997,Petrol,138,Manual,,Compact,3.0,5.0,Red,Used,6200,False,False,False
Dealer,Peugeot,2008,2016,1199,Petrol,82,Manual,FWD,SUV,5.0,5.0,White,Used,111111,True,False,False
Private,Škoda,Superb,2006,1968,Diesel,140,Manual,FWD,station wagon,4.0,5.0,Gold,Used,12600,False,False,False
Private,Fiat,Panda,2004,1108,Petrol,54,Manual,FWD,Small cars,5.0,5.0,White,Used,4600,False,False,False
Private,Saab,9000,1994,1985,Petrol,150,Manual,FWD,Sedan,4.0,5.0,Silver,Used,7000,True,False,False
Dealer,Volkswagen,Golf,2008,1896,Diesel,105,Manual,FWD,station wagon,5.0,5.0,Black,Used,17900,True,False,False
Dealer,Jeep,Compass,2012,2143,Diesel,136,Manual,FWD,SUV,5.0,5.0,Other,Used,39900,False,True,False
Private,Mercedes-Benz,Klasa E,2014,2143,Diesel,170,Automatic,RWD,Sedan,5.0,5.0,White,Used,79900,True,False,False
Dealer,Peugeot,307,2002,1587,Petrol,110,Manual,FWD,Compact,5.0,5.0,Silver,Used,6900,False,False,False
